,team,period,minute,is_goal,x,y
249,chelsea,1,14,0,65.4,71.9
250,chelsea,1,14,0,76.4,92.7
251,chelsea,1,14,0,68.9,72.5
252,chelsea,1,14,0,61.1,59.7
253,chelsea,1,14,0,68.2,61.2
254,chelsea,1,14,0,59.6,66.0
255,chelsea,1,14,0,56.5,41.8
256,chelsea,1,14,0,60.3,14.0
257,chelsea,1,14,0,64.6,27.7
258,chelsea,1,14,0,71.4,50.1
260,crystal palace,1,15,0,9.4,55.2
261,crystal palace,1,15,0,75.2,3.4
263,crystal palace,1,15,0,73.1,0.0
264,crystal palace,1,15,0,70.6,17.4
265,crystal palace,1,15,0,73.8,3.5
266,crystal palace,1,15,0,91.7,10.4
267,crystal palace,1,15,0,89.4,16.6
269,crystal palace,1,15,0,86.4,24.6
270,crystal palace,1,15,0,78.0,32.3
273,chelsea,1,16,0,12.1,55.4
274,chelsea,1,16,0,33.5,13.4
275,chelsea,1,16,0,27.1,44.9
276,chelsea,1,16,0,35.9,70.2
277,crystal palace,1,16,0,28.5,16.4
279,crystal palace,1,16,0,30.5,30.0
280,crystal palace,1,16,0,18.4,47.6
281,crystal palace,1,16,0,3.7,45.5
282,crystal palace,1,16,0,12.5,18.3
284,crystal palace,1,16,0,24.1,13.1
285,crystal palace,1,16,0,33.9,22.5
286,crystal palace,1,16,0,28.4,51.5
287,crystal palace,1,16,0,37.2,54.8
288,crystal palace,1,16,0,38.0,82.3
289,crystal palace,1,16,0,32.3,74.5
290,crystal palace,1,16,0,40.1,66.0
291,crystal palace,1,16,0,49.1,58.4
292,crystal palace,1,16,0,44.9,57.6
293,crystal palace,1,16,0,45.5,35.7
294,crystal palace,1,16,0,57.0,4.4
295,crystal palace,1,16,0,45.1,19.4
296,crystal palace,1,16,0,36.7,20.4
297,crystal palace,1,16,0,27.8,55.1
298,crystal palace,1,16,0,34.2,94.8
299,crystal palace,1,16,0,33.9,73.3
300,crystal palace,1,16,0,45.8,58.8
301,crystal palace,1,17,0,43.1,39.7
302,crystal palace,1,17,0,43.8,15.0
303,crystal palace,1,17,0,54.9,4.1
304,crystal palace,1,17,0,41.6,14.7
305,crystal palace,1,17,0,57.6,27.9
306,crystal palace,1,17,0,60.4,34.5
307,crystal palace,1,17,0,61.2,79.7
308,crystal palace,1,17,0,68.7,96.6
309,crystal palace,1,17,0,58.3,69.7
310,crystal palace,1,17,0,60.6,57.8
311,crystal palace,1,17,0,62.3,59.7
312,crystal palace,1,17,0,60.2,52.5
313,crystal palace,1,17,0,56.0,66.1
314,crystal palace,1,17,0,44.7,58.7
315,crystal palace,1,17,0,42.9,78.8
316,crystal palace,1,17,0,37.0,71.4
317,crystal palace,1,17,0,33.8,94.8
318,crystal palace,1,17,0,34.4,74.5
319,crystal palace,1,17,0,38.7,81.7
320,crystal palace,1,17,0,18.2,57.8
321,crystal palace,1,17,0,28.7,80.5
322,crystal palace,1,17,0,14.0,56.4
323,crystal palace,1,17,0,20.8,35.7
324,chelsea,1,17,0,30.5,73.7
325,chelsea,1,17,0,41.7,74.9
326,crystal palace,1,18,0,39.2,0.0
327,crystal palace,1,18,0,31.2,10.0
328,crystal palace,1,18,0,54.0,31.6
330,crystal palace,1,18,0,55.4,27.2
332,crystal palace,1,18,0,55.3,8.0
333,crystal palace,1,18,0,45.3,22.1
334,crystal palace,1,18,0,34.8,46.6
335,crystal palace,1,18,0,59.2,91.1
336,crystal palace,1,18,0,60.5,96.6
337,crystal palace,1,18,0,48.4,74.5
338,crystal palace,1,18,0,44.6,70.9
339,crystal palace,1,18,0,61.0,96.6
341,crystal palace,1,19,0,61.5,100.0
342,crystal palace,1,19,0,35.0,95.7
343,crystal palace,1,19,0,46.9,97.5
344,crystal palace,1,19,0,35.3,93.9
345,crystal palace,1,19,0,17.9,74.5
346,crystal palace,1,19,0,10.3,32.8
347,chelsea,1,19,0,32.6,31.0
349,chelsea,1,19,0,29.9,60.2
350,chelsea,1,19,0,10.9,40.1
351,chelsea,1,19,0,14.9,61.5
353,chelsea,1,19,0,20.0,72.7
354,chelsea,1,19,0,23.5,70.3
356,chelsea,1,19,0,25.3,58.4
357,chelsea,1,19,0,26.1,78.8
358,chelsea,1,19,0,25.1,63.6
359,chelsea,1,20,0,27.6,35.0
360,chelsea,1,20,0,29.4,57.3
361,chelsea,1,20,0,34.8,29.3
364,crystal palace,1,20,0,39.1,97.4
365,crystal palace,1,20,0,42.5,96.2
367,chelsea,1,20,0,60.7,1.9
369,crystal palace,1,20,0,34.2,93.8
370,crystal palace,1,20,0,43.8,85.7
371,crystal palace,1,20,0,66.8,55.6
373,crystal palace,1,20,0,55.4,75.4
374,crystal palace,1,20,0,65.3,76.4
376,chelsea,1,20,0,34.2,33.0
378,chelsea,1,20,0,33.6,26.0
379,chelsea,1,20,0,45.9,64.7
380,chelsea,1,20,0,58.6,84.2
381,chelsea,1,20,0,40.2,80.9
382,chelsea,1,21,0,41.1,44.9
383,chelsea,1,21,0,44.3,11.9
384,chelsea,1,21,0,94.6,41.1
385,crystal palace,1,21,0,4.2,48.2
386,crystal palace,1,21,0,3.8,32.4
387,crystal palace,1,21,0,10.5,1.4
389,chelsea,1,22,0,69.3,62.9
390,chelsea,1,22,0,75.6,59.3
391,chelsea,1,22,0,73.4,36.1
392,chelsea,1,22,0,77.0,17.0
393,chelsea,1,22,0,90.5,26.0
397,chelsea,1,22,0,99.5,0.5
399,chelsea,1,22,0,71.2,36.8
401,chelsea,1,22,0,94.7,78.6
402,chelsea,1,22,0,77.0,81.0
403,chelsea,1,22,0,72.1,52.7
405,chelsea,1,22,0,95.2,42.5
409,chelsea,1,23,0,99.5,0.5
411,chelsea,1,23,0,56.5,36.1
412,chelsea,1,23,0,56.4,67.2
413,chelsea,1,23,0,71.5,72.9
414,chelsea,1,23,0,66.4,67.2
415,chelsea,1,23,0,67.2,15.8
416,chelsea,1,23,0,64.6,14.2
417,chelsea,1,23,0,43.2,32.0
418,chelsea,1,23,0,44.4,23.5
419,chelsea,1,24,0,38.0,38.2
420,chelsea,1,24,0,36.9,60.5
421,chelsea,1,24,0,55.9,91.7
422,chelsea,1,24,0,43.5,66.5
423,chelsea,1,24,0,42.3,19.9
426,crystal palace,1,24,0,55.9,70.2
427,crystal palace,1,24,0,71.4,76.9
428,crystal palace,1,24,0,86.1,63.7
431,crystal palace,1,24,0,63.6,66.3
432,crystal palace,1,24,0,72.0,52.8
435,chelsea,1,24,0,29.6,35.6
437,chelsea,1,24,0,43.0,14.4
438,chelsea,1,24,0,67.9,22.6
439,chelsea,1,24,0,87.9,31.3
440,chelsea,1,24,1,97.9,53.4
441,crystal palace,1,28,0,49.9,50.1
442,crystal palace,1,28,0,36.1,72.6
443,crystal palace,1,28,0,27.6,59.4
444,crystal palace,1,28,0,29.7,95.6
446,chelsea,1,28,0,11.0,51.2
447,chelsea,1,29,0,24.5,56.9
449,crystal palace,1,29,0,52.0,90.5
451,crystal palace,1,29,0,68.4,91.5
452,crystal palace,1,29,0,58.0,84.7
453,crystal palace,1,29,0,67.1,59.3
457,crystal palace,1,29,0,93.7,100.0
458,crystal palace,1,29,0,90.9,84.0
459,crystal palace,1,29,0,85.5,73.2
460,crystal palace,1,29,0,77.1,55.2
461,crystal palace,1,29,0,79.2,34.8
464,chelsea,1,29,0,13.8,13.0
465,chelsea,1,30,0,55.1,10.7
