period,minute,second,player_name,is_successful,x,y,end_x,end_y,position,pass_receiver,pass_receiver_position,formation
2,70,24,robert sanchez,1,3.0,55.7,16.0,72.0,GK,levi colwill,LCB,4231
2,70,32,levi colwill,1,21.7,71.4,22.0,36.2,LCB,moises caicedo,RCDM,4231
2,70,33,moises caicedo,1,23.5,35.6,25.4,68.9,RCDM,levi colwill,LCB,4231
2,70,36,levi colwill,1,25.4,68.9,33.9,89.3,LCB,marc cucurella,LB,4231
2,70,38,marc cucurella,1,33.9,89.3,34.0,69.8,LB,cole palmer,CAM,4231
2,70,45,cole palmer,1,30.4,47.8,33.4,10.3,CAM,wesley fofana,RCB,4231
2,70,51,wesley fofana,1,36.3,9.5,32.9,31.1,RCB,moises caicedo,RCDM,4231
2,70,52,moises caicedo,1,35.1,33.1,36.2,71.1,RCDM,levi colwill,LCB,4231
2,70,55,levi colwill,1,36.3,71.1,48.8,89.7,LCB,marc cucurella,LB,4231
2,70,58,marc cucurella,1,48.8,89.7,42.0,71.6,LB,levi colwill,LCB,4231
2,71,2,levi colwill,1,42.0,71.6,53.5,88.4,LCB,marc cucurella,LB,4231
2,71,4,marc cucurella,1,53.5,88.4,60.7,92.3,LB,enzo fernandez,LCDM,4231
2,71,6,enzo fernandez,1,60.7,92.3,46.4,87.6,LCDM,marc cucurella,LB,4231
2,71,7,marc cucurella,1,46.4,87.6,36.2,72.8,LB,levi colwill,LCB,4231
2,71,9,levi colwill,1,36.2,72.8,47.3,68.7,LCB,enzo fernandez,LCDM,4231
2,71,14,enzo fernandez,1,53.3,65.4,57.2,47.3,LCDM,malo gusto,RB,4231
2,71,16,malo gusto,1,56.3,49.1,61.9,14.6,RB,wesley fofana,RCB,4231
2,71,20,wesley fofana,1,65.2,15.1,70.1,9.7,RCB,noni madueke,RM,4231
2,71,22,noni madueke,1,70.1,9.7,63.3,20.6,RM,malo gusto,RB,4231
2,71,25,malo gusto,1,63.3,20.6,56.2,32.3,RB,malo gusto,RB,4231
2,73,28,wesley fofana,1,46.7,29.5,42.7,40.7,RCB,enzo fernandez,CDM,433
2,73,29,enzo fernandez,1,42.7,40.7,58.7,10.0,CDM,moises caicedo,RB,433
2,73,32,moises caicedo,1,62.1,10.0,67.0,7.3,RB,noni madueke,RWF,433
2,73,35,noni madueke,1,70.1,8.3,86.9,14.5,RWF,moises caicedo,RB,433
2,73,48,moises caicedo,1,87.6,0.0,84.3,9.4,RB,noni madueke,RWF,433
2,73,50,noni madueke,1,84.3,9.4,89.0,3.1,RWF,moises caicedo,RB,433
2,73,51,moises caicedo,1,89.0,3.1,74.2,4.9,RB,wesley fofana,RCB,433
2,73,53,wesley fofana,1,73.7,5.0,79.6,3.1,RCB,moises caicedo,RB,433
2,73,56,moises caicedo,1,75.3,3.7,51.7,36.5,RB,levi colwill,LCB,433
2,74,0,levi colwill,1,45.6,42.4,54.7,39.8,LCB,enzo fernandez,CDM,433
2,74,2,enzo fernandez,0,55.0,39.8,88.6,47.0,CDM,,,433
2,74,23,mykhailo mudryk,0,62.4,89.0,72.0,82.7,LWF,,,433
2,74,27,levi colwill,1,57.3,75.2,65.0,69.0,LCB,joao felix,LCM,433
2,74,28,joao felix,1,65.1,68.9,59.8,60.9,LCM,enzo fernandez,CDM,433
2,74,29,enzo fernandez,1,59.8,60.9,70.1,35.5,CDM,cole palmer,RCM,433
2,74,35,cole palmer,1,73.7,18.5,66.6,27.2,RCM,moises caicedo,RB,433
2,74,37,moises caicedo,1,66.6,27.2,66.7,41.6,RB,enzo fernandez,CDM,433
2,74,39,enzo fernandez,1,66.9,41.9,65.9,75.8,CDM,marc cucurella,LB,433
2,74,41,marc cucurella,1,65.9,75.8,72.8,90.6,LB,mykhailo mudryk,LWF,433
2,74,47,mykhailo mudryk,0,83.7,87.3,77.1,83.6,LWF,,,433
2,75,38,cole palmer,1,87.2,90.9,95.2,43.0,RCM,levi colwill,LCB,433
2,76,11,moises caicedo,0,65.2,16.4,70.0,31.0,RB,,,433
2,77,15,cole palmer,1,44.3,0.0,46.6,25.6,RCM,noni madueke,RWF,433
2,77,16,noni madueke,1,46.6,25.6,57.4,5.5,RWF,cole palmer,RCM,433
2,77,21,cole palmer,1,44.6,20.9,39.5,68.3,RCM,levi colwill,LCB,433
2,77,26,levi colwill,1,55.8,68.3,61.7,73.7,LCB,joao felix,LCM,433
2,77,27,joao felix,1,61.7,73.7,56.7,84.8,LCM,marc cucurella,LB,433
2,77,31,marc cucurella,1,58.6,84.3,65.9,96.3,LB,mykhailo mudryk,LWF,433
2,77,34,mykhailo mudryk,0,69.5,94.7,76.0,80.4,LWF,,,433
2,77,54,levi colwill,1,44.8,86.3,55.6,79.1,LCB,enzo fernandez,CDM,433
2,77,56,enzo fernandez,1,45.9,79.5,37.0,83.1,CDM,levi colwill,LCB,433
2,77,57,levi colwill,1,37.0,83.1,33.6,56.0,LCB,wesley fofana,RCB,433
2,78,7,wesley fofana,1,55.4,29.3,42.4,63.6,RCB,levi colwill,LCB,433
2,78,13,levi colwill,1,58.8,66.6,66.8,84.0,LCB,marc cucurella,LB,433
2,78,16,marc cucurella,1,66.8,84.0,59.9,69.8,LB,levi colwill,LCB,433
2,78,18,levi colwill,1,59.9,69.8,54.0,48.7,LCB,enzo fernandez,CDM,433
2,78,20,enzo fernandez,1,58.6,45.4,72.8,11.5,CDM,wesley fofana,RCB,433
2,78,23,wesley fofana,0,73.0,11.8,100.0,67.4,RCB,,,433
2,78,55,enzo fernandez,0,69.3,74.4,90.9,59.9,CDM,,,433
2,81,22,marc cucurella,1,44.5,100.0,30.5,87.5,LB,levi colwill,LCB,433
2,81,28,levi colwill,1,33.5,71.9,32.6,50.9,LCB,enzo fernandez,CDM,433
2,81,35,enzo fernandez,1,40.0,39.1,41.6,72.0,CDM,levi colwill,LCB,433
2,81,37,levi colwill,1,41.6,70.7,60.1,89.1,LCB,marc cucurella,LB,433
2,81,41,marc cucurella,1,60.1,89.1,67.0,94.8,LB,mykhailo mudryk,LWF,433
2,81,44,mykhailo mudryk,1,67.0,94.8,55.9,92.1,LWF,marc cucurella,LB,433
2,81,46,marc cucurella,1,55.9,92.1,42.4,72.5,LB,levi colwill,LCB,433
2,81,48,levi colwill,1,42.4,72.5,41.6,47.6,LCB,enzo fernandez,CDM,433
