x,y,team,is_home_team
27.4,77.5,arsenal,1
27.4,77.5,arsenal,1
31.7,50.5,arsenal,1
28.7,24.3,arsenal,1
59.2,9.9,arsenal,1
70.7,9.4,arsenal,1
65.8,3.9,arsenal,1
65.4,9.2,arsenal,1
56.4,30.5,arsenal,1
52.9,39.8,arsenal,1
59.6,26.2,arsenal,1
60.4,38.7,arsenal,1
61.7,72.7,arsenal,1
52.1,54.9,arsenal,1
66.5,20.6,arsenal,1
52.5,53.8,arsenal,1
62.4,15.3,arsenal,1
78.2,6.9,arsenal,1
76.9,16.6,arsenal,1
87.5,27.0,arsenal,1
81.8,35.1,arsenal,1
87.3,39.8,arsenal,1
76.4,31.0,arsenal,1
80.6,32.2,arsenal,1
79.2,69.8,arsenal,1
86.7,83.5,arsenal,1
85.5,82.0,arsenal,1
3.6,61.7,man city,0
87.7,32.4,arsenal,1
92.2,28.4,arsenal,1
7.8,71.6,man city,0
97.3,32.4,arsenal,1
2.3,58.1,man city,0
99.5,0.5,arsenal,1
95.8,38.1,arsenal,1
96.8,41.4,arsenal,1
3.2,58.6,man city,0
96.2,41.3,arsenal,1
3.1,60.6,man city,0
9.6,51.8,man city,0
75.1,40.4,arsenal,1
4.3,47.6,man city,0
62.2,35.5,man city,0
34.4,34.2,arsenal,1
41.3,34.1,arsenal,1
41.3,34.1,arsenal,1
33.2,24.8,arsenal,1
28.9,33.7,arsenal,1
35.0,33.4,arsenal,1
25.5,36.8,arsenal,1
27.8,66.6,arsenal,1
24.1,56.1,arsenal,1
15.1,56.1,arsenal,1
21.8,63.3,man city,0
21.3,64.7,man city,0
23.8,31.1,man city,0
9.9,44.5,man city,0
24.8,79.7,man city,0
20.6,69.3,man city,0
11.0,82.5,man city,0
11.8,51.2,man city,0
60.7,33.5,man city,0
66.8,53.0,man city,0
75.0,48.4,man city,0
78.8,71.9,man city,0
72.4,4.3,man city,0
71.3,29.6,man city,0
68.4,30.5,man city,0
64.4,59.0,man city,0
69.6,45.8,man city,0
